timestamp_ms,date,open,high,low,close,volume,quote_volume
1719799200000,2024-07-01 02:00:00,3519.40000000,3524.94000000,3494.40000000,3502.28000000,18288.98980000,64159200.50354100
1719802800000,2024-07-01 03:00:00,3502.36000000,3508.38000000,3495.12000000,3498.23000000,7796.24900000,27310348.58097400
1719806400000,2024-07-01 04:00:00,3498.23000000,3499.73000000,3485.04000000,3486.45000000,6267.51520000,21881617.56083100
1719810000000,2024-07-01 05:00:00,3486.45000000,3494.35000000,3485.03000000,3490.99000000,9360.34480000,32659869.51316400
1719813600000,2024-07-01 06:00:00,3490.99000000,3493.52000000,3484.44000000,3488.84000000,5797.00160000,20219035.37664100
1719817200000,2024-07-01 07:00:00,3488.84000000,3494.16000000,3486.13000000,3490.58000000,7000.09320000,24434569.59726800
1719820800000,2024-07-01 08:00:00,3490.59000000,3495.00000000,3473.00000000,3483.61000000,14116.04360000,49182446.94603700
1719824400000,2024-07-01 09:00:00,3483.61000000,3490.00000000,3476.06000000,3481.74000000,7182.14740000,25014053.17565800
1719828000000,2024-07-01 10:00:00,3481.74000000,3483.35000000,3465.93000000,3469.22000000,6155.15610000,21381370.71015400
1719831600000,2024-07-01 11:00:00,3469.21000000,3470.60000000,3457.59000000,3459.60000000,7610.41080000,26358973.18700000
1719835200000,2024-07-01 12:00:00,3459.61000000,3477.13000000,3458.61000000,3472.42000000,6678.57940000,23170562.76453700
1719838800000,2024-07-01 13:00:00,3472.43000000,3481.27000000,3453.00000000,3460.45000000,10922.25930000,37871167.39220100
1719842400000,2024-07-01 14:00:00,3460.46000000,3472.54000000,3453.71000000,3469.20000000,10544.56670000,36514982.48022300
1719846000000,2024-07-01 15:00:00,3469.21000000,3479.07000000,3465.38000000,3474.35000000,8422.51810000,29242990.64435800
1719849600000,2024-07-01 16:00:00,3474.35000000,3476.69000000,3463.81000000,3467.33000000,6975.86670000,24209721.94189700
1719853200000,2024-07-01 17:00:00,3467.33000000,3493.11000000,3462.09000000,3491.03000000,9890.56260000,34394416.63728700
1719856800000,2024-07-01 18:00:00,3491.03000000,3499.00000000,3472.14000000,3482.14000000,9135.18410000,31840638.41682500
1719860400000,2024-07-01 19:00:00,3482.15000000,3486.38000000,3467.02000000,3471.47000000,5601.76320000,19477460.83461900
1719864000000,2024-07-01 20:00:00,3471.47000000,3475.91000000,3465.25000000,3466.44000000,2984.60300000,10359312.49580900
1719867600000,2024-07-01 21:00:00,3466.44000000,3468.31000000,3453.78000000,3459.80000000,3535.66880000,12234288.04033000
1719871200000,2024-07-01 22:00:00,3459.81000000,3461.79000000,3423.78000000,3443.54000000,12552.93280000,43179727.70883800
1719874800000,2024-07-01 23:00:00,3443.55000000,3447.00000000,3436.40000000,3442.20000000,5316.49130000,18297613.90346200
1719878400000,2024-07-02 00:00:00,3442.20000000,3446.46000000,3434.02000000,3443.95000000,5373.92920000,18495108.79284200
1719882000000,2024-07-02 01:00:00,3443.96000000,3449.94000000,3441.61000000,3448.60000000,3320.85070000,11446437.43280900
