date,oi,oi_value,oi_mean,ls_global,ls_top,taker_ls
2023-03-14,762947.2090,1297780831.9811,797099.4981,0.964104,1.223859,1.021042
2023-03-15,753062.4460,1240459822.5009,775523.6868,1.152221,1.175321,1.025465
2023-03-16,776969.0580,1299996722.3648,780618.5120,1.128273,1.203552,1.049725
2023-03-17,806379.4300,1439633811.1111,800313.0835,0.858417,1.244420,1.085014
2023-03-18,811890.6300,1426792236.4431,812381.1383,0.856052,1.266845,1.024175
2023-03-19,810022.5160,1439320908.4552,828874.7177,0.927906,1.260561,1.051004
2023-03-20,781265.7460,1350691284.9721,791988.5052,1.079443,1.296348,1.034814
2023-03-21,832943.0810,1502207610.4368,816199.3730,0.943483,1.248300,1.075344
2023-03-22,794554.4180,1377814191.8253,818894.7458,1.222369,1.189978,0.975338
2023-03-23,845675.3310,1534652913.9794,823164.5114,0.832858,1.213666,1.080183
2023-03-24,773332.0920,1351189031.1052,813421.7304,1.235346,1.256015,1.025383
2023-03-25,752997.5390,1311081665.0299,773495.7787,1.295485,1.181233,1.080003
2023-03-26,734652.2670,1302638369.5441,746508.7602,1.110183,1.170270,1.138198
2023-03-27,754670.8490,1294210732.7002,749213.1239,1.376723,1.125952,1.079976
2023-03-28,787619.8050,1396150618.7391,760654.8394,0.901811,1.115332,1.116514
2023-03-29,810903.8600,1452734265.1900,826788.0511,0.847547,1.162605,1.076057
2023-03-30,767036.5120,1374168922.3434,778017.1681,0.949034,1.164488,1.030188
2023-03-31,914759.5680,1665605152.3247,847995.3410,0.724436,1.133725,1.092397
2023-04-01,892551.5920,1624720466.3771,901936.5361,0.778040,1.157010,1.114164
2023-04-02,850026.3980,1525049361.1798,884384.3161,1.019758,1.161567,1.042477
2023-04-03,800708.2660,1448257054.8795,827247.7683,0.914033,1.137183,1.071344
2023-04-04,1005621.0370,1880762744.4492,918950.8943,0.618005,1.146981,1.101624
2023-04-05,994743.1700,1897989863.2234,1007058.4014,0.744258,1.218396,1.071338
2023-04-06,867074.5410,1621898711.8235,923537.8887,1.067541,1.204426,1.054662
2023-04-07,867658.1860,1617088669.0563,867173.7515,1.175410,1.189674,1.086479
2023-04-08,877909.0660,1621717853.0085,873996.6126,1.227802,1.178648,1.095032
2023-04-09,823646.4810,1529783318.5557,864541.3462,1.197615,1.164287,1.137803
2023-04-10,845670.5660,1611822728.6790,830951.3875,0.850212,1.131365,1.148605
2023-04-11,818419.6360,1546886769.8072,853062.2800,0.894899,1.140056,1.121242
2023-04-12,978270.8960,1874474558.7445,865331.3605,0.718077,1.088991,1.089601
2023-04-13,1196292.1220,2403793479.0278,1102734.3127,0.528862,1.117214,1.115812
2023-04-14,1048658.8980,2203555160.8959,1080542.3230,0.715777,1.177489,1.088475
2023-04-15,1072101.6010,2243378895.2480,1061780.2892,0.715032,1.174691,1.142626
2023-04-16,1025256.5830,2172549143.3152,1052418.8876,0.761840,1.174169,1.086282
2023-04-17,1010040.7060,2095046578.2733,1029831.4670,0.899814,1.186908,1.044994
2023-04-18,968275.7290,2036196713.2714,1006359.2934,0.933502,1.175784,1.095630
2023-04-19,896895.0260,1734550135.5327,948525.5002,1.593518,1.094385,1.063350
2023-04-20,880088.1980,1710721355.4189,893507.6318,1.609619,1.100589,1.045351
2023-04-21,845432.5990,1562740837.8286,879379.1671,1.672301,1.104951,1.053474
2023-04-22,841442.6870,1576585919.3513,842358.9480,1.771812,1.047635,1.137413
2023-04-23,859173.0230,1599237527.6285,860670.3982,1.726231,1.096396,1.117297
2023-04-24,862299.5920,1587816336.3497,859367.1403,1.805463,1.081776,1.081788
2023-04-25,867533.7470,1619373727.3630,877723.1689,1.604550,1.101443,1.065476
2023-04-26,745761.1020,1391001065.0614,851483.0474,1.553110,1.117043,1.095817
2023-04-27,745077.9890,1421932765.4698,754596.5947,1.267225,1.161644,1.066758
2023-04-28,774877.2230,1464928636.3982,769700.6303,1.495427,1.189442,1.091573
2023-04-29,780065.1890,1485976784.4150,776132.7225,1.440499,1.194762,1.143384
2023-04-30,774185.0900,1455452485.4982,783813.7319,1.567210,1.203014,1.083887
2023-05-01,820349.0940,1501058365.2193,806370.3578,2.019278,1.203173,1.136465
2023-05-02,821266.4570,1534848456.1582,830512.9246,1.462439,1.137285,1.109951
2023-05-03,805062.3430,1531819757.0596,816809.6437,1.245159,1.233507,1.103351
2023-05-04,820026.8440,1537960345.9220,820664.2862,1.372955,1.245778,1.126700
2023-05-05,951199.5660,1893726981.1511,874899.5786,0.723351,1.244497,1.112202
2023-05-06,843817.3150,1600938704.2750,881598.2413,1.643293,1.224366,1.042480
2023-05-07,792677.2840,1489257614.8936,827230.1580,1.344462,1.204706,1.085580
2023-05-08,824852.9600,1524198933.8370,825511.1751,1.876232,1.151306,1.053862
2023-05-09,833952.4220,1540401858.2004,836111.2838,1.792440,1.174218,1.091046
2023-05-10,824708.6840,1518809010.5088,841074.6966,1.835242,1.137849,1.099693
2023-05-11,872525.2560,1567516588.6061,854799.3259,1.988771,1.163313,1.066726
2023-05-12,830482.6830,1500557635.7785,856739.5343,1.865986,1.143661,1.084759
2023-05-13,834245.4720,1497095211.7776,836873.5354,1.684127,1.145006,1.107046
2023-05-14,835029.2480,1501841969.4248,831835.2937,1.751542,1.139005,1.105761
2023-05-15,800351.1780,1453438388.9411,825351.1965,1.508613,1.137307,1.074803
2023-05-16,803638.9730,1464905265.5433,818794.1794,1.432589,1.123059,1.084683
2023-05-17,813874.4290,1481308431.9900,829656.5631,1.499116,1.130336,1.131107
2023-05-18,816755.6180,1471164721.8101,815272.6650,1.778195,1.146083,1.085917
2023-05-19,796359.0280,1441760238.6523,813287.5859,1.555168,1.159039,1.111549
2023-05-20,793106.5570,1442308443.8407,797751.8537,1.491509,1.153642,1.173520
2023-05-21,816821.6870,1473252267.5407,805824.3125,1.662319,1.139117,1.128024
2023-05-22,843035.2220,1531710694.8518,835137.2027,1.446133,1.143831,1.120727
2023-05-23,870489.3900,1613459190.1351,895561.8247,1.159227,1.177754,1.158869
2023-05-24,857774.8990,1543763218.9773,845886.9893,2.031182,1.140049,1.084036
2023-05-25,835065.8600,1507151144.0019,836076.3387,1.683715,1.133647,1.134818
2023-05-26,848212.9640,1550177048.7471,848459.2308,1.213474,1.111055,1.146695
2023-05-27,826748.9280,1512380081.4797,843006.6122,1.260818,1.087884,1.253256
2023-05-28,832436.1100,1592673657.8320,838249.8529,1.016678,1.099007,1.125182
2023-05-29,832014.7490,1573972221.5682,856243.9622,1.033391,1.154239,1.105505
2023-05-30,853857.3400,1621691219.6086,849553.1151,1.020485,1.122016,1.097546
2023-05-31,850596.7870,1593312383.5048,846437.5124,1.447909,1.125165,1.093017
2023-06-01,820036.3020,1525169117.3638,833361.1195,1.483251,1.143286,1.130836
2023-06-02,871535.4390,1660614910.1162,848567.9848,1.103461,1.157154,1.075804
2023-06-03,852512.6060,1611496053.9957,874632.8223,1.173424,1.149756,1.219151
2023-06-04,862784.5670,1629765535.6803,866415.0766,1.170094,1.123825,1.149632
2023-06-05,880672.5800,1593189537.5748,878017.5693,2.128120,1.087956,1.069471
2023-06-06,798821.5590,1502912874.4322,850194.3049,1.202539,1.182578,1.127697
2023-06-07,770437.9920,1411781394.0605,797662.1615,1.555866,1.182759,1.080395
2023-06-08,771982.0970,1423971695.6272,778040.5018,1.556849,1.176097,1.100353
