date,funding_sum,funding_mean,funding_n
2020-08-09,0.0011377700,0.0003792567,3
2020-08-10,0.0019443300,0.0006481100,3
2020-08-11,0.0015258900,0.0005086300,3
2020-08-12,0.0009275900,0.0003091967,3
2020-08-13,0.0014393000,0.0004797667,3
2020-08-14,0.0040790100,0.0013596700,3
2020-08-15,0.0023917600,0.0007972533,3
2020-08-16,0.0022525900,0.0007508633,3
2020-08-17,0.0023964800,0.0007988267,3
2020-08-18,0.0027387700,0.0009129233,3
2020-08-19,0.0009612900,0.0003204300,3
2020-08-20,0.0007235900,0.0002411967,3
2020-08-21,0.0004109200,0.0001369733,3
2020-08-22,0.0003000000,0.0001000000,3
2020-08-23,0.0006137300,0.0002045767,3
2020-08-24,0.0008603800,0.0002867933,3
2020-08-25,0.0004539600,0.0001513200,3
2020-08-26,0.0004592500,0.0001530833,3
2020-08-27,0.0003128100,0.0001042700,3
2020-08-28,0.0003222600,0.0001074200,3
2020-08-29,0.0003000000,0.0001000000,3
2020-08-30,0.0003000000,0.0001000000,3
2020-08-31,0.0003000000,0.0001000000,3
2020-09-01,0.0009218000,0.0003072667,3
2020-09-02,0.0011591000,0.0003863667,3
2020-09-03,0.0003485900,0.0001161967,3
2020-09-04,0.0004274100,0.0001424700,3
2020-09-05,0.0003000000,0.0001000000,3
2020-09-06,0.0003000000,0.0001000000,3
2020-09-07,0.0002648000,0.0000882667,3
2020-09-08,0.0003000000,0.0001000000,3
2020-09-09,0.0003000000,0.0001000000,3
2020-09-10,0.0002653800,0.0000884600,3
2020-09-11,0.0001997200,0.0000665733,3
2020-09-12,0.0002373100,0.0000791033,3
2020-09-13,0.0003000000,0.0001000000,3
2020-09-14,0.0003000000,0.0001000000,3
2020-09-15,0.0003000000,0.0001000000,3
2020-09-16,0.0003000000,0.0001000000,3
2020-09-17,0.0003000000,0.0001000000,3
2020-09-18,0.0003000000,0.0001000000,3
2020-09-19,0.0003000000,0.0001000000,3
2020-09-20,0.0001992000,0.0000664000,3
2020-09-21,0.0001359400,0.0000453133,3
2020-09-22,-0.0002165000,-0.0000721667,3
2020-09-23,0.0002163200,0.0000721067,3
2020-09-24,0.0000708300,0.0000236100,3
2020-09-25,0.0002536100,0.0000845367,3
2020-09-26,0.0003000000,0.0001000000,3
2020-09-27,0.0003000000,0.0001000000,3
2020-09-28,0.0003000000,0.0001000000,3
2020-09-29,0.0001586200,0.0000528733,3
2020-09-30,0.0001972000,0.0000657333,3
2020-10-01,0.0002993700,0.0000997900,3
2020-10-02,0.0001085900,0.0000361967,3
2020-10-03,-0.0000927000,-0.0000309000,3
2020-10-04,0.0000294600,0.0000098200,3
2020-10-05,0.0000886300,0.0000295433,3
2020-10-06,0.0000505900,0.0000168633,3
2020-10-07,0.0000271300,0.0000090433,3
2020-10-08,0.0003000000,0.0001000000,3
2020-10-09,0.0003000000,0.0001000000,3
2020-10-10,0.0005524700,0.0001841567,3
2020-10-11,0.0003512200,0.0001170733,3
2020-10-12,0.0003000000,0.0001000000,3
2020-10-13,0.0004191000,0.0001397000,3
2020-10-14,0.0003000000,0.0001000000,3
2020-10-15,0.0003000000,0.0001000000,3
2020-10-16,0.0003000000,0.0001000000,3
2020-10-17,0.0003000000,0.0001000000,3
2020-10-18,0.0003000000,0.0001000000,3
2020-10-19,0.0003000000,0.0001000000,3
2020-10-20,0.0005927000,0.0001975667,3
2020-10-21,0.0009271000,0.0003090333,3
2020-10-22,0.0021057000,0.0007019000,3
2020-10-23,0.0011103300,0.0003701100,3
2020-10-24,0.0012826000,0.0004275333,3
2020-10-25,0.0005979500,0.0001993167,3
2020-10-26,0.0004133000,0.0001377667,3
2020-10-27,0.0003840900,0.0001280300,3
2020-10-28,0.0003525300,0.0001175100,3
2020-10-29,0.0003000000,0.0001000000,3
2020-10-30,0.0003000000,0.0001000000,3
2020-10-31,0.0003000000,0.0001000000,3
2020-11-01,0.0003000000,0.0001000000,3
2020-11-02,0.0005009500,0.0001669833,3
2020-11-03,0.0003000000,0.0001000000,3
2020-11-04,0.0003000000,0.0001000000,3
2020-11-05,0.0021907200,0.0007302400,3
2020-11-06,0.0018485100,0.0006161700,3
2020-11-07,0.0021000600,0.0007000200,3
2020-11-08,0.0011459500,0.0003819833,3
2020-11-09,0.0010449100,0.0003483033,3
2020-11-10,0.0008682600,0.0002894200,3
2020-11-11,0.0010265700,0.0003421900,3
2020-11-12,0.0005919100,0.0001973033,3
2020-11-13,0.0007103200,0.0002367733,3
2020-11-14,0.0008063800,0.0002687933,3
2020-11-15,0.0003000000,0.0001000000,3
2020-11-16,0.0003000000,0.0001000000,3
2020-11-17,0.0007206200,0.0002402067,3
2020-11-18,0.0013763700,0.0004587900,3
2020-11-19,0.0006309000,0.0002103000,3
2020-11-20,0.0017457700,0.0005819233,3
2020-11-21,0.0009905400,0.0003301800,3
2020-11-22,0.0023936500,0.0007978833,3
2020-11-23,0.0035807000,0.0011935667,3
2020-11-24,0.0027294500,0.0009098167,3
2020-11-25,0.0024365600,0.0008121867,3
2020-11-26,0.0007211200,0.0002403733,3
2020-11-27,0.0004475000,0.0001491667,3
2020-11-28,0.0003000000,0.0001000000,3
2020-11-29,0.0003000000,0.0001000000,3
2020-11-30,0.0013708100,0.0004569367,3
2020-12-01,0.0013021300,0.0004340433,3
2020-12-02,0.0007523400,0.0002507800,3
2020-12-03,0.0009733100,0.0003244367,3
2020-12-04,0.0006225800,0.0002075267,3
2020-12-05,0.0005385500,0.0001795167,3
2020-12-06,0.0003000000,0.0001000000,3
2020-12-07,0.0003000000,0.0001000000,3
2020-12-08,0.0005711000,0.0001903667,3
2020-12-09,0.0003384200,0.0001128067,3
2020-12-10,0.0003000000,0.0001000000,3
2020-12-11,0.0003978200,0.0001326067,3
2020-12-12,0.0003000000,0.0001000000,3
2020-12-13,0.0003000000,0.0001000000,3
2020-12-14,0.0003000000,0.0001000000,3
2020-12-15,0.0003000000,0.0001000000,3
2020-12-16,0.0012246000,0.0004082000,3
2020-12-17,0.0025716800,0.0008572267,3
2020-12-18,0.0013887200,0.0004629067,3
2020-12-19,0.0020479600,0.0006826533,3
2020-12-20,0.0016212600,0.0005404200,3
2020-12-21,0.0007867200,0.0002622400,3
2020-12-22,0.0003569900,0.0001189967,3
2020-12-23,0.0006285600,0.0002095200,3
2020-12-24,0.0003000000,0.0001000000,3
2020-12-25,0.0003088900,0.0001029633,3
2020-12-26,0.0003000000,0.0001000000,3
2020-12-27,0.0015492300,0.0005164100,3
2020-12-28,0.0024165600,0.0008055200,3
2020-12-29,0.0020363300,0.0006787767,3
2020-12-30,0.0022151700,0.0007383900,3
2020-12-31,0.0015203100,0.0005067700,3
2021-01-01,0.0015243500,0.0005081167,3
2021-01-02,0.0018399100,0.0006133033,3
2021-01-03,0.0030790600,0.0010263533,3
2021-01-04,0.0075598100,0.0025199367,3
2021-01-05,0.0024838700,0.0008279567,3
2021-01-06,0.0065795600,0.0021931867,3
2021-01-07,0.0045707000,0.0015235667,3
2021-01-08,0.0038655300,0.0012885100,3
2021-01-09,0.0029321000,0.0009773667,3
2021-01-10,0.0066949000,0.0022316333,3
2021-01-11,0.0028347800,0.0009449267,3
2021-01-12,0.0011314300,0.0003771433,3
2021-01-13,0.0008967500,0.0002989167,3
2021-01-14,0.0017874400,0.0005958133,3
2021-01-15,0.0017052400,0.0005684133,3
2021-01-16,0.0022153500,0.0007384500,3
2021-01-17,0.0020765300,0.0006921767,3
2021-01-18,0.0024695700,0.0008231900,3
2021-01-19,0.0051904800,0.0017301600,3
2021-01-20,0.0027514000,0.0009171333,3
2021-01-21,0.0013823700,0.0004607900,3
2021-01-22,0.0004698800,0.0001566267,3
2021-01-23,0.0006440900,0.0002146967,3
2021-01-24,0.0024607600,0.0008202533,3
2021-01-25,0.0024974100,0.0008324700,3
2021-01-26,0.0007598800,0.0002532933,3
2021-01-27,0.0005634200,0.0001878067,3
2021-01-28,0.0008167800,0.0002722600,3
2021-01-29,0.0041562400,0.0013854133,3
2021-01-30,0.0020471000,0.0006823667,3
2021-01-31,0.0030084400,0.0010028133,3
2021-02-01,0.0014213700,0.0004737900,3
2021-02-02,0.0033694900,0.0011231633,3
2021-02-03,0.0047538000,0.0015846000,3
2021-02-04,0.0042663000,0.0014221000,3
2021-02-05,0.0044563100,0.0014854367,3
2021-02-06,0.0036809300,0.0012269767,3
2021-02-07,0.0028798100,0.0009599367,3
2021-02-08,0.0033428500,0.0011142833,3
2021-02-09,0.0056409700,0.0018803233,3
2021-02-10,0.0046000500,0.0015333500,3
2021-02-11,0.0031840600,0.0010613533,3
2021-02-12,0.0029648500,0.0009882833,3
2021-02-13,0.0049604000,0.0016534667,3
2021-02-14,0.0041186700,0.0013728900,3
2021-02-15,0.0017443300,0.0005814433,3
2021-02-16,0.0033186300,0.0011062100,3
2021-02-17,0.0043112600,0.0014370867,3
2021-02-18,0.0051601200,0.0017200400,3
2021-02-19,0.0039084700,0.0013028233,3
